date,league_id,team1,team2,prob1,prob2,probtie,pred538
10/14/17,2411,Burnley,West Ham United,0.4492,0.268,0.2828,Home Win
10/14/17,2411,Crystal Palace,Chelsea,0.1498,0.6394,0.2108,Away Win
10/14/17,2411,Watford,Arsenal,0.2227,0.5521,0.2252,Away Win
10/15/17,2411,Brighton and Hove Albion,Everton,0.2978,0.4087,0.2936,Away Win
10/15/17,2411,Southampton,Newcastle,0.4999,0.2146,0.2854,Home Win
10/16/17,2411,Leicester City,West Bromwich Albion,0.5163,0.2118,0.272,Home Win
10/20/17,2411,West Ham United,Brighton and Hove Albion,0.5538,0.1763,0.27,Home Win
10/21/17,2411,Chelsea,Watford,0.7637,0.0756,0.1607,Home Win
10/21/17,2411,Huddersfield Town,Manchester United,0.0884,0.7162,0.1954,Away Win
10/21/17,2411,Manchester City,Burnley,0.8536,0.0334,0.113,Home Win
10/21/17,2411,Newcastle,Crystal Palace,0.44,0.2784,0.2816,Home Win
10/21/17,2411,Swansea City,Leicester City,0.3762,0.3337,0.2901,Home Win
10/21/17,2411,Stoke City,AFC Bournemouth,0.4984,0.2416,0.26,Home Win
10/21/17,2411,Southampton,West Bromwich Albion,0.5021,0.2096,0.2883,Home Win
10/22/17,2411,Everton,Arsenal,0.2793,0.4754,0.2452,Away Win
10/22/17,2411,Tottenham Hotspur,Liverpool,0.4903,0.2566,0.253,Home Win
10/28/17,2411,Manchester United,Tottenham Hotspur,0.4432,0.2852,0.2717,Home Win
10/28/17,2411,Crystal Palace,West Ham United,0.4416,0.2835,0.2749,Home Win
10/28/17,2411,West Bromwich Albion,Manchester City,0.0899,0.7388,0.1713,Away Win
10/28/17,2411,Watford,Stoke City,0.4556,0.2864,0.258,Home Win
10/28/17,2411,Arsenal,Swansea City,0.7642,0.0748,0.161,Home Win
10/28/17,2411,Liverpool,Huddersfield Town,0.8162,0.0439,0.1399,Home Win
10/28/17,2411,AFC Bournemouth,Chelsea,0.1876,0.5907,0.2217,Away Win
10/29/17,2411,Brighton and Hove Albion,Southampton,0.3287,0.364,0.3074,Away Win
10/29/17,2411,Leicester City,Everton,0.4678,0.2707,0.2615,Home Win
10/30/17,2411,Burnley,Newcastle,0.4666,0.2387,0.2947,Home Win
11/4/17,2411,Stoke City,Leicester City,0.4056,0.3231,0.2713,Home Win
11/4/17,2411,Southampton,Burnley,0.4567,0.2472,0.2961,Home Win
11/4/17,2411,Huddersfield Town,West Bromwich Albion,0.3537,0.3222,0.3241,Home Win
11/4/17,2411,Newcastle,AFC Bournemouth,0.4507,0.2578,0.2915,Home Win
11/4/17,2411,Swansea City,Brighton and Hove Albion,0.459,0.2361,0.3049,Home Win
11/4/17,2411,West Ham United,Liverpool,0.1897,0.5933,0.217,Away Win
11/5/17,2411,Tottenham Hotspur,Crystal Palace,0.8118,0.0472,0.141,Home Win
11/5/17,2411,Manchester City,Arsenal,0.667,0.1481,0.185,Home Win
11/5/17,2411,Chelsea,Manchester United,0.3863,0.3489,0.2648,Home Win
11/5/17,2411,Everton,Watford,0.4398,0.2922,0.268,Home Win
11/18/17,2411,Arsenal,Tottenham Hotspur,0.3497,0.3913,0.259,Away Win
11/18/17,2411,Crystal Palace,Everton,0.4198,0.3073,0.273,Home Win
11/18/17,2411,AFC Bournemouth,Huddersfield Town,0.5231,0.1857,0.2913,Home Win
11/18/17,2411,Burnley,Swansea City,0.4973,0.2057,0.2971,Home Win
11/18/17,2411,West Bromwich Albion,Chelsea,0.1806,0.5782,0.2412,Away Win
11/18/17,2411,Leicester City,Manchester City,0.1343,0.6819,0.1837,Away Win
11/18/17,2411,Liverpool,Southampton,0.6894,0.1124,0.1983,Home Win
11/18/17,2411,Manchester United,Newcastle,0.8095,0.0385,0.1521,Home Win
11/19/17,2411,Watford,West Ham United,0.4937,0.2547,0.2517,Home Win
11/20/17,2411,Brighton and Hove Albion,Stoke City,0.3703,0.3364,0.2933,Home Win
11/24/17,2411,West Ham United,Leicester City,0.3688,0.3581,0.2731,Home Win
11/25/17,2411,Manchester United,Brighton and Hove Albion,0.8228,0.034,0.1432,Home Win
11/25/17,2411,Swansea City,AFC Bournemouth,0.3918,0.3135,0.2947,Home Win
11/25/17,2411,Crystal Palace,Stoke City,0.4215,0.3105,0.268,Home Win
11/25/17,2411,Newcastle,Watford,0.3888,0.3317,0.2795,Home Win
11/25/17,2411,Tottenham Hotspur,West Bromwich Albion,0.8178,0.0343,0.1479,Home Win
11/25/17,2411,Liverpool,Chelsea,0.4251,0.3324,0.2425,Home Win
11/26/17,2411,Southampton,Everton,0.4673,0.2608,0.2718,Home Win
11/26/17,2411,Burnley,Arsenal,0.2548,0.4819,0.2633,Away Win
11/26/17,2411,Huddersfield Town,Manchester City,0.0605,0.7995,0.14,Away Win
11/28/17,2411,Brighton and Hove Albion,Crystal Palace,0.3881,0.3117,0.3002,Home Win
11/28/17,2411,Leicester City,Tottenham Hotspur,0.2104,0.5352,0.2544,Away Win
11/28/17,2411,Watford,Manchester United,0.2119,0.5462,0.2419,Away Win
11/28/17,2411,West Bromwich Albion,Newcastle,0.4498,0.2491,0.3011,Home Win
11/29/17,2411,Arsenal,Huddersfield Town,0.8266,0.038,0.1354,Home Win
11/29/17,2411,Chelsea,Swansea City,0.8256,0.0393,0.1351,Home Win
11/29/17,2411,AFC Bournemouth,Burnley,0.4088,0.2842,0.307,Home Win
11/29/17,2411,Manchester City,Southampton,0.8402,0.0386,0.1213,Home Win
11/29/17,2411,Everton,West Ham United,0.4545,0.2893,0.2562,Home Win
11/29/17,2411,Stoke City,Liverpool,0.2023,0.5803,0.2174,Away Win
12/2/17,2411,Chelsea,Newcastle,0.8207,0.0458,0.1334,Home Win
12/2/17,2411,Watford,Tottenham Hotspur,0.2167,0.5458,0.2374,Away Win
12/2/17,2411,Everton,Huddersfield Town,0.5725,0.178,0.2495,Home Win
12/2/17,2411,Leicester City,Burnley,0.453,0.2528,0.2942,Home Win
12/2/17,2411,Stoke City,Swansea City,0.495,0.2247,0.2802,Home Win
12/2/17,2411,West Bromwich Albion,Crystal Palace,0.387,0.3115,0.3015,Home Win
12/2/17,2411,Brighton and Hove Albion,Liverpool,0.1533,0.6202,0.2265,Away Win
12/2/17,2411,Arsenal,Manchester United,0.4194,0.3221,0.2585,Home Win
12/3/17,2411,AFC Bournemouth,Southampton,0.3701,0.3392,0.2907,Home Win
12/3/17,2411,Manchester City,West Ham United,0.8932,0.0243,0.0824,Home Win
12/9/17,2411,West Ham United,Chelsea,0.1454,0.6575,0.1971,Away Win
12/9/17,2411,Crystal Palace,AFC Bournemouth,0.4571,0.2572,0.2857,Home Win
12/9/17,2411,Burnley,Watford,0.4206,0.293,0.2864,Home Win
12/9/17,2411,Swansea City,West Bromwich Albion,0.4153,0.2633,0.3214,Home Win
12/9/17,2411,Huddersfield Town,Brighton and Hove Albion,0.3562,0.314,0.3298,Home Win
12/9/17,2411,Tottenham Hotspur,Stoke City,0.7731,0.0668,0.1601,Home Win
12/9/17,2411,Newcastle,Leicester City,0.3498,0.3669,0.2833,Away Win
12/10/17,2411,Southampton,Arsenal,0.2283,0.5376,0.2341,Away Win
12/10/17,2411,Liverpool,Everton,0.8039,0.0659,0.1302,Home Win
12/10/17,2411,Manchester United,Manchester City,0.3433,0.409,0.2477,Away Win
12/12/17,2411,Burnley,Stoke City,0.4735,0.2451,0.2814,Home Win
12/12/17,2411,Crystal Palace,Watford,0.4017,0.3265,0.2718,Home Win
12/12/17,2411,Huddersfield Town,Chelsea,0.1127,0.6868,0.2005,Away Win
12/13/17,2411,Swansea City,Manchester City,0.097,0.7219,0.1811,Away Win
12/13/17,2411,Southampton,Leicester City,0.4502,0.2679,0.2819,Home Win
12/13/17,2411,Newcastle,Everton,0.3758,0.3571,0.2671,Home Win
12/13/17,2411,West Ham United,Arsenal,0.1556,0.6497,0.1947,Away Win
12/13/17,2411,Manchester United,AFC Bournemouth,0.7863,0.0635,0.1502,Home Win
12/13/17,2411,Liverpool,West Bromwich Albion,0.8327,0.0404,0.1269,Home Win
12/13/17,2411,Tottenham Hotspur,Brighton and Hove Albion,0.8382,0.0297,0.1321,Home Win
12/16/17,2411,Leicester City,Crystal Palace,0.5076,0.2302,0.2623,Home Win
12/16/17,2411,Stoke City,West Ham United,0.4854,0.2523,0.2622,Home Win
12/16/17,2411,Watford,Huddersfield Town,0.6052,0.1488,0.2461,Home Win
12/16/17,2411,Chelsea,Southampton,0.7586,0.0743,0.1671,Home Win
12/16/17,2411,Brighton and Hove Albion,Burnley,0.3261,0.3388,0.3351,Away Win
12/16/17,2411,Arsenal,Newcastle,0.8335,0.0457,0.1209,Home Win
12/16/17,2411,Manchester City,Tottenham Hotspur,0.5701,0.1985,0.2314,Home Win
12/17/17,2411,West Bromwich Albion,Manchester United,0.1737,0.5774,0.2488,Away Win
12/17/17,2411,AFC Bournemouth,Liverpool,0.1619,0.6303,0.2078,Away Win
12/18/17,2411,Everton,Swansea City,0.5342,0.1924,0.2734,Home Win
12/22/17,2411,Arsenal,Liverpool,0.4218,0.3374,0.2408,Home Win
12/23/17,2411,Everton,Chelsea,0.1995,0.5742,0.2263,Away Win
12/23/17,2411,West Ham United,Newcastle,0.488,0.2382,0.2738,Home Win
12/23/17,2411,Southampton,Huddersfield Town,0.55,0.1779,0.272,Home Win
12/23/17,2411,Manchester City,AFC Bournemouth,0.9011,0.0205,0.0784,Home Win
12/23/17,2411,Swansea City,Crystal Palace,0.3246,0.3705,0.3049,Away Win
12/23/17,2411,Stoke City,West Bromwich Albion,0.4517,0.2617,0.2866,Home Win
12/23/17,2411,Brighton and Hove Albion,Watford,0.3503,0.3602,0.2895,Away Win
12/23/17,2411,Burnley,Tottenham Hotspur,0.2144,0.5073,0.2783,Away Win
12/23/17,2411,Leicester City,Manchester United,0.2429,0.5111,0.246,Away Win
12/26/17,2411,Tottenham Hotspur,Southampton,0.7602,0.0691,0.1707,Home Win
12/26/17,2411,Huddersfield Town,Stoke City,0.3971,0.3253,0.2776,Home Win
12/26/17,2411,Manchester United,Burnley,0.6868,0.0983,0.2149,Home Win
12/26/17,2411,Watford,Leicester City,0.3927,0.3475,0.2597,Home Win
12/26/17,2411,AFC Bournemouth,West Ham United,0.4264,0.2985,0.2752,Home Win
